,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
11,"('踊り', '揺れる')",揺れる,0.08333333333333334,0.25,-0.16666666666666669,0.26666666666666666,-0.54393781569122,0.09205101496312953,0.3666666666666667,-0.39999999999999997
12,"('踊り', '舞台')",踊り,0.11666666666666665,-0.2833333333333333,0.13333333333333333,0.0,0.510464719340991,0.04184137043778616,-0.21666666666666667,0.3
13,"('踊り', '舞台')",舞台,-0.03347309635022892,-0.1924703040138163,-0.35983578576496095,0.7113032974423646,-0.27731092436974797,-0.03781512605042017,-0.10878756313824399,-0.1924703040138163
14,"('女性', '踊り')",女性,0.016666666666666666,0.8499999999999999,0.75,-0.7166666666666667,-0.06694619270045785,-0.02510482226267169,0.19999999999999998,-0.25
15,"('女性', '踊り')",踊り,0.5333333333333333,0.03333333333333333,0.5333333333333333,-0.25,0.8200908605806086,0.4602550748156477,0.18333333333333335,0.5833333333333334
16,"('女性', 'スカート')",女性,-0.15,0.7333333333333334,0.65,-0.6333333333333333,-0.217575126276488,-0.18410202992625907,0.0,-0.3666666666666667
17,"('女性', 'スカート')",スカート,0.3096261412396175,0.20083857810137354,0.10041928905068677,0.10041928905068677,-0.39075630252100846,0.3991596638655463,0.35146751167740364,-0.08368274087557231
18,"('女性', '夜')",女性,-0.16666666666666669,0.65,0.6666666666666667,-0.7166666666666667,-0.17573375583870185,-0.2008385781013735,0.016666666666666666,-0.38333333333333336
19,"('女性', '夜')",夜,0.0,-0.39330888211518983,-0.6359888306543495,0.5857791861290061,-0.16806722689075632,0.1092436974789916,0.07531446678801507,0.1338923854009157
20,"('女性', '音楽')",女性,-0.4666666666666666,0.2833333333333333,0.3,-0.43333333333333335,-0.38494060802763264,-0.510464719340991,-0.3,-0.6
21,"('女性', '音楽')",音楽,-0.5333333333333333,0.38333333333333336,-0.2333333333333333,0.41666666666666663,-0.6359888306543495,-0.5774109120414489,-0.48333333333333334,-0.5499999999999999
22,"('女性', '回る')",女性,-0.24267994853915967,0.050209644525343385,0.3096261412396175,-0.6778302010921357,-0.07983193277310925,-0.23529411764705885,-0.10041928905068677,-0.25104822262671694
23,"('女性', '回る')",回る,0.2833333333333333,-0.43333333333333335,-0.45,0.5499999999999999,-0.08368274087557231,0.2845213189769458,0.2333333333333333,0.049999999999999996
24,"('女性', '揺れる')",女性,-0.19999999999999998,0.6166666666666666,0.6333333333333333,-0.7666666666666667,-0.09205101496312953,-0.25104822262671694,-0.03333333333333333,-0.33333333333333337
25,"('女性', '揺れる')",揺れる,0.18333333333333335,-0.19999999999999998,-0.45,0.5333333333333333,-0.19247030401381632,0.24267994853915967,0.3,0.03333333333333333
26,"('女性', '舞台')",女性,-0.41666666666666663,0.31666666666666665,0.33333333333333337,-0.5666666666666667,-0.30125786715206027,-0.4518868007280905,-0.19999999999999998,-0.5333333333333333
27,"('女性', '舞台')",舞台,0.06666666666666667,-0.13333333333333333,-0.26666666666666666,0.6333333333333333,-0.2928895930645031,0.05020964452534338,0.0,-0.21666666666666667
28,"('スカート', '踊り')",スカート,-0.08333333333333334,0.016666666666666666,0.03333333333333333,-0.16666666666666669,-0.619252282479235,0.00836827408755723,0.13333333333333333,-0.43333333333333335
29,"('スカート', '踊り')",踊り,0.2833333333333333,-0.06666666666666667,0.3666666666666667,-0.19999999999999998,0.5690426379538917,0.20920685218893076,-0.03333333333333333,0.35
30,"('スカート', '女性')",スカート,0.049999999999999996,0.21666666666666667,0.08333333333333334,-0.06666666666666667,-0.4602550748156477,0.15062893357603013,0.09999999999999999,-0.15
31,"('スカート', '女性')",女性,-0.15,0.7333333333333334,0.65,-0.6333333333333333,-0.217575126276488,-0.18410202992625907,0.0,-0.3666666666666667
32,"('スカート', '夜')",スカート,-0.21666666666666667,0.09999999999999999,0.06666666666666667,-0.09999999999999999,-0.7029350233548074,-0.12552411131335847,-0.016666666666666666,-0.5333333333333333
33,"('スカート', '夜')",夜,-0.5333333333333333,-0.7,-0.8666666666666667,0.7,-0.5774109120414489,-0.435150252552976,-0.41666666666666663,-0.35
34,"('スカート', '音楽')",スカート,-0.33333333333333337,-0.48333333333333334,-0.35,0.06666666666666667,-0.47699162299076214,-0.20920685218893076,-0.26666666666666666,-0.25
35,"('スカート', '音楽')",音楽,-0.6025157343041205,0.4184137043778615,-0.22594340036404525,0.23431167445160245,-0.7016806722689077,-0.6302521008403362,-0.48535989707831934,-0.5941474602165634
36,"('スカート', '回る')",スカート,-0.3666666666666667,0.03333333333333333,0.049999999999999996,-0.08333333333333334,-0.5774109120414489,-0.25104822262671694,-0.2833333333333333,-0.38333333333333336
37,"('スカート', '回る')",回る,0.26666666666666666,-0.41666666666666663,-0.35,0.5499999999999999,-0.16736548175114463,0.24267994853915967,0.21666666666666667,-0.09999999999999999
38,"('スカート', '揺れる')",スカート,-0.33333333333333337,-0.016666666666666666,-0.16666666666666669,0.11666666666666665,-0.728039845617479,-0.20920685218893076,-0.21666666666666667,-0.41666666666666663
39,"('スカート', '揺れる')",揺れる,-0.016666666666666666,-0.18333333333333335,-0.43333333333333335,0.6166666666666666,-0.5523060897787772,-0.01673654817511446,0.15,-0.43333333333333335
40,"('スカート', '舞台')",スカート,-0.24267994853915967,-0.10041928905068677,0.1338923854009157,-0.22594340036404525,-0.546218487394958,-0.16806722689075632,-0.08368274087557231,-0.510464719340991
41,"('スカート', '舞台')",舞台,-0.25,0.0,-0.33333333333333337,0.5333333333333333,-0.5272012675161055,-0.23431167445160245,-0.13333333333333333,-0.45
42,"('夜', '踊り')",夜,-0.16666666666666669,-0.6666666666666667,-0.7333333333333334,0.8666666666666667,-0.2845213189769458,-0.08368274087557231,-0.18333333333333335,-0.06666666666666667
43,"('夜', '踊り')",踊り,0.3,-0.09999999999999999,0.33333333333333337,-0.11666666666666665,0.5857791861290061,0.20920685218893076,-0.016666666666666666,0.33333333333333337
44,"('夜', '女性')",夜,-0.049999999999999996,-0.45,-0.6833333333333333,0.6,-0.19247030401381632,0.05857791861290061,0.03333333333333333,0.09999999999999999
