	tri_edge	dom/cod	Illana	Chabad_rabbi	SUNDOWNS	Patrice_Luzi	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	Dan_Miracola	Thaye	NA
34	('chaplin', 'Trygve_Olson_cartoon')	chaplin	0	225	64	71	75	61	61	47	77	319
35	('chaplin', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	37	58	41	250	67	49	55	124	319
36	('chaplin', 'ATWOOD')	chaplin	0	126	51	96	94	33	64	62	73	401
37	('chaplin', 'ATWOOD')	ATWOOD	0	4	76	46	150	90	116	78	39	401
38	('chaplin', 'Parisara')	chaplin	0	188	51	60	72	42	74	55	64	394
39	('chaplin', 'Parisara')	Parisara	0	33	68	55	77	52	71	35	215	394
40	('chaplin', 'Jenna_Werdell')	chaplin	0	201	58	78	97	45	64	44	72	341
41	('chaplin', 'Jenna_Werdell')	Jenna_Werdell	0	18	49	41	126	81	197	84	63	341
42	('Cruiz', 'Fishcreek_Road_Stow')	Cruiz	0	8	173	90	227	87	77	128	25	185
43	('Cruiz', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	28	150	86	233	8	121	166	23	185
44	('Cruiz', 'Oneco_Elementary')	Cruiz	0	2	165	97	151	116	68	111	36	254
45	('Cruiz', 'Oneco_Elementary')	Oneco_Elementary	0	31	81	53	126	55	185	181	34	254
46	('Cruiz', 'chaplin')	Cruiz	0	13	52	52	137	166	42	76	46	416
47	('Cruiz', 'chaplin')	chaplin	0	184	52	67	85	37	72	32	55	416
48	('Cruiz', 'Trygve_Olson_cartoon')	Cruiz	0	4	80	41	305	93	143	234	22	78
49	('Cruiz', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	1	39	18	514	1	105	230	14	78
50	('Cruiz', 'ATWOOD')	Cruiz	0	2	164	125	231	80	62	122	24	190
51	('Cruiz', 'ATWOOD')	ATWOOD	0	4	172	91	171	34	184	133	21	190
52	('Cruiz', 'Parisara')	Cruiz	0	11	120	100	94	282	83	66	52	192
53	('Cruiz', 'Parisara')	Parisara	0	40	73	85	96	86	175	23	230	192
54	('Cruiz', 'Jenna_Werdell')	Cruiz	0	3	180	96	165	252	30	126	50	98
55	('Cruiz', 'Jenna_Werdell')	Jenna_Werdell	0	8	104	79	93	57	234	269	58	98
56	('Trygve_Olson_cartoon', 'Fishcreek_Road_Stow')	Trygve_Olson_cartoon	0	2	166	5	625	3	18	66	12	103
57	('Trygve_Olson_cartoon', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	23	196	31	243	7	141	218	38	103
58	('Trygve_Olson_cartoon', 'Oneco_Elementary')	Trygve_Olson_cartoon	0	13	201	82	231	55	35	105	95	183
59	('Trygve_Olson_cartoon', 'Oneco_Elementary')	Oneco_Elementary	0	37	63	52	157	111	116	218	63	183
60	('Trygve_Olson_cartoon', 'chaplin')	Trygve_Olson_cartoon	0	36	65	43	241	59	50	57	112	337
61	('Trygve_Olson_cartoon', 'chaplin')	chaplin	0	200	57	55	88	54	80	46	83	337
62	('Trygve_Olson_cartoon', 'Cruiz')	Trygve_Olson_cartoon	0	1	39	17	609	2	68	164	9	91
63	('Trygve_Olson_cartoon', 'Cruiz')	Cruiz	0	2	87	39	217	77	154	309	24	91
64	('Trygve_Olson_cartoon', 'ATWOOD')	Trygve_Olson_cartoon	0	2	283	78	285	16	103	96	37	100
65	('Trygve_Olson_cartoon', 'ATWOOD')	ATWOOD	0	1	187	90	123	69	274	115	41	100
66	('Trygve_Olson_cartoon', 'Parisara')	Trygve_Olson_cartoon	0	1	199	77	388	12	89	81	22	131
67	('Trygve_Olson_cartoon', 'Parisara')	Parisara	0	16	183	103	124	30	145	63	205	131
68	('Trygve_Olson_cartoon', 'Jenna_Werdell')	Trygve_Olson_cartoon	0	0	0	0	1000	0	0	0	0	0
69	('Trygve_Olson_cartoon', 'Jenna_Werdell')	Jenna_Werdell	0	0	0	0	0	0	1000	0	0	0
70	('ATWOOD', 'Fishcreek_Road_Stow')	ATWOOD	0	3	171	78	130	62	194	96	38	228
71	('ATWOOD', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	30	174	77	163	19	132	125	52	228
72	('ATWOOD', 'Oneco_Elementary')	ATWOOD	0	0	147	97	121	87	143	114	43	248
73	('ATWOOD', 'Oneco_Elementary')	Oneco_Elementary	0	48	58	51	112	106	164	180	33	248
74	('ATWOOD', 'chaplin')	ATWOOD	0	5	68	67	148	69	117	65	51	410
75	('ATWOOD', 'chaplin')	chaplin	0	133	57	93	92	35	53	56	71	410
76	('ATWOOD', 'Cruiz')	ATWOOD	0	3	175	81	186	29	177	137	26	186
77	('ATWOOD', 'Cruiz')	Cruiz	0	4	194	95	223	69	75	135	19	186
78	('ATWOOD', 'Trygve_Olson_cartoon')	ATWOOD	0	2	201	76	125	48	251	128	49	120
79	('ATWOOD', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	1	253	90	275	19	119	94	29	120
80	('ATWOOD', 'Parisara')	ATWOOD	0	20	106	59	97	171	166	119	56	206
81	('ATWOOD', 'Parisara')	Parisara	0	104	57	76	69	87	83	37	281	206
82	('ATWOOD', 'Jenna_Werdell')	ATWOOD	0	3	73	38	356	45	233	113	15	124
83	('ATWOOD', 'Jenna_Werdell')	Jenna_Werdell	0	2	36	17	161	5	544	108	3	124
84	('Parisara', 'Fishcreek_Road_Stow')	Parisara	0	33	94	94	131	94	71	37	228	218
85	('Parisara', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	93	104	114	147	24	137	85	78	218
86	('Parisara', 'Oneco_Elementary')	Parisara	0	29	78	96	100	86	94	28	199	290
87	('Parisara', 'Oneco_Elementary')	Oneco_Elementary	0	64	42	48	89	138	184	103	42	290
88	('Parisara', 'chaplin')	Parisara	0	51	47	44	86	49	67	32	203	421
89	('Parisara', 'chaplin')	chaplin	0	175	54	57	76	31	65	38	83	421
90	('Parisara', 'Cruiz')	Parisara	0	25	88	121	112	85	135	26	208	200
91	('Parisara', 'Cruiz')	Cruiz	0	13	109	87	101	277	96	62	55	200
92	('Parisara', 'Trygve_Olson_cartoon')	Parisara	0	19	235	90	119	47	136	50	185	119
93	('Parisara', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	2	190	65	384	5	123	75	37	119
94	('Parisara', 'ATWOOD')	Parisara	0	83	80	64	77	85	75	33	274	229
95	('Parisara', 'ATWOOD')	ATWOOD	0	12	106	72	82	160	150	128	61	229
96	('Parisara', 'Jenna_Werdell')	Parisara	0	15	251	78	110	63	131	56	174	122
97	('Parisara', 'Jenna_Werdell')	Jenna_Werdell	0	2	180	46	136	41	361	71	41	122
98	('Jenna_Werdell', 'Fishcreek_Road_Stow')	Jenna_Werdell	0	1	256	70	108	42	280	87	37	119
99	('Jenna_Werdell', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	17	181	100	190	12	167	162	52	119
100	('Jenna_Werdell', 'Oneco_Elementary')	Jenna_Werdell	0	2	238	87	113	38	209	106	27	180
101	('Jenna_Werdell', 'Oneco_Elementary')	Oneco_Elementary	0	32	93	63	150	74	185	196	27	180
102	('Jenna_Werdell', 'chaplin')	Jenna_Werdell	0	15	67	44	127	81	181	87	67	331
103	('Jenna_Werdell', 'chaplin')	chaplin	0	208	61	94	90	35	62	48	71	331
104	('Jenna_Werdell', 'Cruiz')	Jenna_Werdell	0	5	136	117	124	73	197	212	65	71
105	('Jenna_Werdell', 'Cruiz')	Cruiz	0	2	143	98	180	219	53	183	51	71
106	('Jenna_Werdell', 'Trygve_Olson_cartoon')	Jenna_Werdell	0	0	0	0	198	0	802	0	0	0
107	('Jenna_Werdell', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	0	0	0	802	0	198	0	0	0
108	('Jenna_Werdell', 'ATWOOD')	Jenna_Werdell	0	0	38	21	258	7	493	84	0	99
109	('Jenna_Werdell', 'ATWOOD')	ATWOOD	0	2	83	44	281	48	281	141	21	99
110	('Jenna_Werdell', 'Parisara')	Jenna_Werdell	0	8	201	46	144	41	305	96	44	115
111	('Jenna_Werdell', 'Parisara')	Parisara	0	10	192	86	116	60	153	63	205	115
