	tri_edge	dom/cod	flower	feather	fly	beauty	sky	skirt	dance	spin	NA
102	('feather', 'music')	feather	0	309	49	26	123	177	42	77	197
103	('feather', 'music')	music	88	18	48	252	45	18	290	44	197
104	('feather', 'beauty')	feather	0	406	0	18	148	270	76	82	0
105	('feather', 'beauty')	beauty	0	29	29	899	24	19	0	0	0
106	('feather', 'skirt')	feather	0	547	0	9	156	152	102	34	0
107	('feather', 'skirt')	skirt	0	126	55	51	15	700	53	0	0
108	('feather', 'stage')	feather	8	185	12	25	92	97	29	46	506
109	('feather', 'stage')	stage	51	60	25	15	15	35	169	124	506
110	('feather', 'flower')	feather	3	453	17	26	165	186	104	46	0
111	('feather', 'flower')	flower	211	47	72	248	119	202	96	5	0
