,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
51,"('夜', '回る')",回る,136,291,37,34,56,78,114,41,213
52,"('夜', '揺れる')",夜,62,143,45,61,232,80,147,85,145
53,"('夜', '揺れる')",揺れる,75,183,13,79,75,147,263,20,145
54,"('夜', '舞台')",夜,53,92,40,78,179,56,105,72,325
55,"('夜', '舞台')",舞台,131,70,56,59,74,148,113,24,325
56,"('音楽', '踊り')",音楽,60,15,87,146,35,250,123,0,284
57,"('音楽', '踊り')",踊り,205,32,314,15,24,45,20,61,284
58,"('音楽', '女性')",音楽,56,26,77,145,35,235,117,0,309
59,"('音楽', '女性')",女性,73,21,102,235,15,104,33,108,309
60,"('音楽', 'スカート')",音楽,49,24,69,205,22,135,112,0,384
61,"('音楽', 'スカート')",スカート,59,110,38,154,90,71,25,69,384
62,"('音楽', '夜')",音楽,40,34,71,190,24,189,102,0,350
63,"('音楽', '夜')",夜,96,91,26,59,193,37,87,61,350
64,"('音楽', '回る')",音楽,34,13,79,239,24,113,91,0,407
65,"('音楽', '回る')",回る,105,272,24,14,58,26,63,31,407
66,"('音楽', '揺れる')",音楽,50,27,77,256,29,142,97,0,322
67,"('音楽', '揺れる')",揺れる,82,228,11,66,82,43,141,25,322
68,"('音楽', '舞台')",音楽,32,19,71,131,25,150,94,0,478
69,"('音楽', '舞台')",舞台,111,67,29,44,62,96,90,23,478
70,"('回る', '踊り')",回る,132,354,36,25,50,64,117,49,173
71,"('回る', '踊り')",踊り,127,38,331,18,61,97,36,119,173
72,"('回る', '女性')",回る,155,426,40,21,72,43,78,31,134
73,"('回る', '女性')",女性,26,15,88,566,11,9,10,141,134
74,"('回る', 'スカート')",回る,136,301,38,19,56,78,101,28,243
75,"('回る', 'スカート')",スカート,55,60,41,221,83,143,61,93,243
76,"('回る', '夜')",回る,122,334,36,29,44,79,110,42,204
77,"('回る', '夜')",夜,45,89,41,107,192,69,144,109,204
78,"('回る', '音楽')",回る,99,259,22,23,80,30,55,48,384
79,"('回る', '音楽')",音楽,39,20,55,233,26,127,116,0,384
80,"('回る', '揺れる')",回る,141,342,33,13,59,104,90,23,195
81,"('回る', '揺れる')",揺れる,75,149,4,59,88,229,193,8,195
82,"('回る', '舞台')",回る,96,270,24,20,59,56,80,37,358
83,"('回る', '舞台')",舞台,111,60,61,58,71,127,133,21,358
84,"('揺れる', '踊り')",揺れる,72,211,20,91,71,132,277,23,103
85,"('揺れる', '踊り')",踊り,146,73,359,26,75,63,36,119,103
86,"('揺れる', '女性')",揺れる,105,223,11,72,100,86,333,11,59
87,"('揺れる', '女性')",女性,60,29,116,416,19,107,52,142,59
88,"('揺れる', 'スカート')",揺れる,74,187,11,77,71,150,271,15,144
89,"('揺れる', 'スカート')",スカート,72,100,61,250,79,143,48,103,144
90,"('揺れる', '夜')",揺れる,80,192,7,85,54,135,267,23,157
91,"('揺れる', '夜')",夜,67,119,43,60,236,70,146,102,157
92,"('揺れる', '音楽')",揺れる,79,233,6,62,85,60,114,10,351
93,"('揺れる', '音楽')",音楽,39,23,66,272,33,102,114,0,351
94,"('揺れる', '回る')",揺れる,85,155,9,40,90,225,195,9,192
95,"('揺れる', '回る')",回る,152,326,35,16,75,117,72,15,192
96,"('揺れる', '舞台')",揺れる,80,161,16,79,61,74,202,20,307
97,"('揺れる', '舞台')",舞台,126,99,68,91,77,101,102,29,307
98,"('舞台', '踊り')",舞台,129,103,67,53,106,107,127,18,290
99,"('舞台', '踊り')",踊り,134,42,271,20,56,67,22,98,290
100,"('舞台', '女性')",舞台,174,95,45,72,102,125,126,19,242
101,"('舞台', '女性')",女性,54,22,124,318,19,60,40,121,242
102,"('舞台', 'スカート')",舞台,133,81,48,79,94,89,110,15,351
103,"('舞台', 'スカート')",スカート,63,73,39,200,58,70,39,107,351
104,"('舞台', '夜')",舞台,120,81,53,70,82,137,127,23,307
105,"('舞台', '夜')",夜,48,86,46,88,193,59,91,82,307
106,"('舞台', '音楽')",舞台,123,86,39,49,79,83,57,16,468
107,"('舞台', '音楽')",音楽,25,16,64,130,27,162,108,0,468
108,"('舞台', '回る')",舞台,96,58,47,73,86,115,125,35,365
109,"('舞台', '回る')",回る,93,251,38,19,48,68,77,41,365
110,"('舞台', '揺れる')",舞台,116,88,51,95,103,110,111,31,295
111,"('舞台', '揺れる')",揺れる,74,182,11,89,55,87,187,20,295
