,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
74,"('回る', 'スカート')",回る,132,311,32,33,48,61,99,34,250
75,"('回る', 'スカート')",スカート,44,66,52,219,73,146,52,98,250
76,"('回る', '夜')",回る,152,297,26,35,44,66,114,36,230
77,"('回る', '夜')",夜,40,83,43,112,184,67,149,92,230
78,"('回る', '音楽')",回る,125,262,22,20,72,32,59,29,379
79,"('回る', '音楽')",音楽,35,16,63,265,26,111,105,0,379
80,"('回る', '揺れる')",回る,150,347,34,13,80,66,83,29,198
81,"('回る', '揺れる')",揺れる,76,136,8,43,80,209,234,16,198
82,"('回る', '舞台')",回る,97,243,33,20,62,55,82,39,369
83,"('回る', '舞台')",舞台,96,54,59,64,96,115,120,27,369
84,"('揺れる', '踊り')",揺れる,68,206,18,84,73,130,312,19,90
85,"('揺れる', '踊り')",踊り,115,60,390,29,67,66,38,145,90
86,"('揺れる', '女性')",揺れる,116,206,8,66,100,91,328,14,71
87,"('揺れる', '女性')",女性,71,28,119,424,14,89,40,144,71
88,"('揺れる', 'スカート')",揺れる,74,170,8,75,75,128,276,11,183
89,"('揺れる', 'スカート')",スカート,68,105,43,233,96,129,62,81,183
90,"('揺れる', '夜')",揺れる,78,194,13,85,72,152,274,12,120
91,"('揺れる', '夜')",夜,61,129,45,61,286,80,114,104,120
92,"('揺れる', '音楽')",揺れる,80,218,11,65,105,47,107,26,341
93,"('揺れる', '音楽')",音楽,42,29,72,240,29,132,115,0,341
94,"('揺れる', '回る')",揺れる,92,150,7,57,81,186,209,12,206
95,"('揺れる', '回る')",回る,148,322,37,6,63,93,97,28,206
96,"('揺れる', '舞台')",揺れる,54,180,11,75,85,85,180,30,300
97,"('揺れる', '舞台')",舞台,136,72,73,80,103,112,99,25,300
98,"('舞台', '踊り')",舞台,137,83,59,60,112,142,109,19,279
99,"('舞台', '踊り')",踊り,121,48,282,18,65,61,22,104,279
100,"('舞台', '女性')",舞台,178,86,49,69,106,104,93,23,292
101,"('舞台', '女性')",女性,62,16,94,330,16,61,31,98,292
102,"('舞台', 'スカート')",舞台,136,72,43,87,96,91,113,21,341
103,"('舞台', 'スカート')",スカート,52,81,43,209,60,93,39,82,341
104,"('舞台', '夜')",舞台,126,59,57,57,81,152,115,26,327
105,"('舞台', '夜')",夜,43,103,25,84,181,55,94,88,327
106,"('舞台', '音楽')",舞台,119,61,39,47,72,75,76,17,494
107,"('舞台', '音楽')",音楽,37,23,56,129,13,157,91,0,494
108,"('舞台', '回る')",舞台,109,57,66,93,75,108,117,26,349
109,"('舞台', '回る')",回る,98,242,37,32,61,57,83,41,349
110,"('舞台', '揺れる')",舞台,109,64,49,91,87,112,129,37,322
111,"('舞台', '揺れる')",揺れる,61,174,11,74,78,68,198,14,322
