	tri_edge	dom/cod	Storm_Launcher	Truckers_Protest	Elese_Daniel	Dortmunder_Gold	metallic_leggings	Lisa_Hurunui	spincasting	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	NA
53	('Polanco_hyperextended', 'BÝA_Istanbul')	BÝA_Istanbul	0	209	49	157	0	71	0	40	67	407
54	('Polanco_hyperextended', 'Syed_Ameer')	Polanco_hyperextended	0	111	143	68	46	48	39	53	69	423
55	('Polanco_hyperextended', 'Syed_Ameer')	Syed_Ameer	0	122	109	0	0	51	21	168	106	423
56	('SUTA', 'Kilusang_Mayo_Uno')	SUTA	0	93	66	0	0	48	26	44	59	664
57	('SUTA', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	88	56	0	34	7	40	59	52	664
58	('SUTA', 'Chhatrapati_Shivaji_Maharaj')	SUTA	0	108	66	0	0	34	12	33	41	706
59	('SUTA', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	4	11	58	73	17	56	28	47	706
60	('SUTA', 'Stock_Exchange_PAMP_Pampa')	SUTA	0	85	76	0	0	59	32	51	55	642
61	('SUTA', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	85	19	13	69	51	24	11	86	642
62	('SUTA', 'Polanco_hyperextended')	SUTA	0	162	104	0	0	73	45	66	97	453
63	('SUTA', 'Polanco_hyperextended')	Polanco_hyperextended	0	63	152	75	62	53	46	44	52	453
64	('SUTA', 'Pandyan')	SUTA	0	99	49	0	0	32	22	35	47	716
65	('SUTA', 'Pandyan')	Pandyan	0	15	36	5	37	49	61	39	42	716
66	('SUTA', 'BÝA_Istanbul')	SUTA	0	67	51	0	0	52	37	45	80	668
67	('SUTA', 'BÝA_Istanbul')	BÝA_Istanbul	0	99	30	96	0	37	0	39	31	668
68	('SUTA', 'Syed_Ameer')	SUTA	0	92	79	0	0	35	12	40	57	685
69	('SUTA', 'Syed_Ameer')	Syed_Ameer	0	54	76	0	0	14	11	96	64	685
70	('Pandyan', 'Kilusang_Mayo_Uno')	Pandyan	0	23	38	11	37	51	64	33	51	692
71	('Pandyan', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	96	69	0	16	9	27	41	50	692
72	('Pandyan', 'Chhatrapati_Shivaji_Maharaj')	Pandyan	0	22	30	5	24	43	38	35	44	759
73	('Pandyan', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	4	13	51	37	12	54	21	49	759
74	('Pandyan', 'Stock_Exchange_PAMP_Pampa')	Pandyan	0	21	38	9	37	50	84	42	56	663
75	('Pandyan', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	106	24	12	44	39	12	16	84	663
76	('Pandyan', 'Polanco_hyperextended')	Pandyan	0	38	62	10	46	80	102	57	86	519
77	('Pandyan', 'Polanco_hyperextended')	Polanco_hyperextended	0	90	159	59	24	32	38	34	45	519
78	('Pandyan', 'SUTA')	Pandyan	0	9	19	7	33	50	62	38	39	743
79	('Pandyan', 'SUTA')	SUTA	0	90	56	0	0	25	14	32	40	743
80	('Pandyan', 'BÝA_Istanbul')	Pandyan	0	21	36	7	44	57	67	44	39	685
81	('Pandyan', 'BÝA_Istanbul')	BÝA_Istanbul	0	114	22	91	0	30	0	19	39	685
82	('Pandyan', 'Syed_Ameer')	Pandyan	0	15	44	7	25	34	63	37	42	733
83	('Pandyan', 'Syed_Ameer')	Syed_Ameer	0	71	62	0	0	12	8	64	50	733
84	('BÝA_Istanbul', 'Kilusang_Mayo_Uno')	BÝA_Istanbul	0	100	22	131	0	40	0	38	56	613
85	('BÝA_Istanbul', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	95	83	0	28	8	49	65	59	613
86	('BÝA_Istanbul', 'Chhatrapati_Shivaji_Maharaj')	BÝA_Istanbul	0	103	23	85	0	38	0	31	35	685
87	('BÝA_Istanbul', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	8	19	41	64	15	86	32	50	685
88	('BÝA_Istanbul', 'Stock_Exchange_PAMP_Pampa')	BÝA_Istanbul	0	131	43	126	0	51	0	37	34	578
89	('BÝA_Istanbul', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	114	37	20	66	55	12	14	104	578
90	('BÝA_Istanbul', 'Polanco_hyperextended')	BÝA_Istanbul	0	193	44	192	0	65	0	34	68	404
91	('BÝA_Istanbul', 'Polanco_hyperextended')	Polanco_hyperextended	0	92	85	33	130	85	83	52	36	404
92	('BÝA_Istanbul', 'SUTA')	BÝA_Istanbul	0	100	28	107	0	41	0	28	34	662
93	('BÝA_Istanbul', 'SUTA')	SUTA	0	83	66	0	0	31	50	50	58	662
94	('BÝA_Istanbul', 'Pandyan')	BÝA_Istanbul	0	116	28	89	0	27	0	21	41	678
95	('BÝA_Istanbul', 'Pandyan')	Pandyan	0	13	50	12	45	48	66	44	44	678
96	('BÝA_Istanbul', 'Syed_Ameer')	BÝA_Istanbul	0	131	25	65	0	21	0	35	62	661
97	('BÝA_Istanbul', 'Syed_Ameer')	Syed_Ameer	0	65	95	0	0	29	6	99	45	661
98	('Syed_Ameer', 'Kilusang_Mayo_Uno')	Syed_Ameer	0	77	85	0	0	38	17	76	65	642
99	('Syed_Ameer', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	86	48	0	24	18	59	62	61	642
100	('Syed_Ameer', 'Chhatrapati_Shivaji_Maharaj')	Syed_Ameer	0	76	70	0	0	25	3	71	39	716
101	('Syed_Ameer', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	6	13	62	63	12	47	26	55	716
